site,datetime,filename,solar_zenith_deg,quality_flag,n_valid,n_total,rho_w_corrected_440_600,rho_w_uncorrected_440_600,offset_subtracted,neg_band_fraction_400_900
BEFR_H,2023-12-14 07:30:00,HYPERNETS_W_BEFR_L2B_REF_20231214T0730_20260528T1032_090_v2.1.nc,86.4,0,6,6,-0.000689,0.004016,0.004706,0.59
BEFR_H,2023-12-25 07:30:00,HYPERNETS_W_BEFR_L2B_REF_20231225T0730_20260528T1151_090_v2.1.nc,87.3,0,6,6,-0.000151,0.000761,0.000912,0.73
BEFR_H,2023-12-26 07:45:00,HYPERNETS_W_BEFR_L2B_REF_20231226T0745_20260528T1157_090_v2.1.nc,85.3,0,6,6,-0.000497,0.000238,0.000735,0.713
BEFR_H,2023-12-30 07:45:00,HYPERNETS_W_BEFR_L2B_REF_20231230T0745_20260528T1226_090_v2.1.nc,85.4,0,6,6,-0.000702,0.00052,0.001221,0.5
THFR_H,2025-06-12 11:15:00,HYPERNETS_W_THFR_L2B_REF_20250612T1115_20260527T2302_270_v2.1.nc,21.1,0,6,6,-0.000114,0.000248,0.000362,0.998
THFR_H,2025-07-02 10:30:00,HYPERNETS_W_THFR_L2B_REF_20250702T1030_20260528T0133_270_v2.1.nc,25.9,0,6,6,-0.000165,0.000469,0.000635,1.0
THFR_H,2025-08-21 08:15:00,HYPERNETS_W_THFR_L2B_REF_20250821T0815_20260528T0748_270_v2.1.nc,55.1,0,6,6,-0.002085,0.001981,0.004065,1.0
THFR_H,2025-08-25 13:15:00,HYPERNETS_W_THFR_L2B_REF_20250825T1315_20260528T0822_270_v2.1.nc,38.2,0,6,6,-0.000156,0.000355,0.000511,0.996
THFR_H,2025-09-09 08:00:00,HYPERNETS_W_THFR_L2B_REF_20250909T0800_20260528T1012_270_v2.1.nc,61.6,0,6,6,-0.000388,0.000753,0.001141,0.998
THFR_H,2025-11-17 07:00:00,HYPERNETS_W_THFR_L2B_REF_20251117T0700_20260528T1842_270_v2.1.nc,87.2,0,6,6,-0.001196,0.000615,0.001811,0.887
THFR_H,2025-11-28 07:30:00,HYPERNETS_W_THFR_L2B_REF_20251128T0730_20260528T2005_270_v2.1.nc,84.9,0,6,6,-0.002383,0.001439,0.003821,0.998
THFR_H,2025-11-30 08:45:00,HYPERNETS_W_THFR_L2B_REF_20251130T0845_20260528T2020_270_v2.1.nc,75.5,0,6,6,-9.3e-05,0.0002,0.000293,0.996
THFR_H,2025-12-01 07:15:00,HYPERNETS_W_THFR_L2B_REF_20251201T0715_20260528T2027_270_v2.1.nc,87.6,0,6,6,-0.000872,0.000448,0.001319,0.884
THFR_H,2026-01-07 09:15:00,HYPERNETS_W_THFR_L2B_REF_20260107T0915_20260529T0049_270_v2.1.nc,74.7,0,6,6,-0.000188,0.000881,0.001069,0.995
THFR_H,2026-01-31 11:45:00,HYPERNETS_W_THFR_L2B_REF_20260131T1145_20260529T0333_270_v2.1.nc,60.8,0,6,6,-0.000152,0.000421,0.000574,0.998
THFR_H,2026-02-04 07:15:00,HYPERNETS_W_THFR_L2B_REF_20260204T0715_20260529T0359_270_v2.1.nc,87.3,0,6,6,-0.000325,0.001581,0.001906,0.848
THFR_H,2026-02-14 09:15:00,HYPERNETS_W_THFR_L2B_REF_20260214T0915_20260529T0514_270_v2.1.nc,67.4,0,6,6,-6.5e-05,0.000341,0.000406,0.996
THFR_H,2026-02-28 12:15:00,HYPERNETS_W_THFR_L2B_REF_20260228T1215_20260529T0701_270_v2.1.nc,51.5,0,6,6,-0.000149,0.000339,0.000488,0.997
THFR_H,2026-03-03 10:30:00,HYPERNETS_W_THFR_L2B_REF_20260303T1030_20260529T0721_270_v2.1.nc,53.7,0,6,6,-0.000185,0.000372,0.000557,0.996
THFR_H,2026-03-05 10:45:00,HYPERNETS_W_THFR_L2B_REF_20260305T1045_20260529T0737_270_v2.1.nc,51.8,0,6,6,-0.00015,0.000307,0.000458,0.998
THFR_H,2026-03-12 09:00:00,HYPERNETS_W_THFR_L2B_REF_20260312T0900_20260529T0826_270_v2.1.nc,60.7,0,6,6,-0.000446,0.001092,0.001538,0.997
THFR_H,2026-04-23 09:30:00,HYPERNETS_W_THFR_L2B_REF_20260423T0930_20260529T1347_270_v2.1.nc,41.8,0,6,6,-0.000187,0.000366,0.000553,1.0
