site,name,system,N_files,first,last,months,lat,lon,product,n_serial,n_grids,n_bands,sza_min,sza_max,Rrs560_med,blue_green,rel_sigma,pct_negative,n_pool,n_sample
BEFR_H,Berre lagoon (FR),HYPSTAR,1798,2023-06-19,2024-01-04,7,43.44231,5.09718,reflectance,1,1,1539,20.0,86.4,0.00396440621166152,0.5245846965810248,0.0246,32.0,400,100
CBUS_P,Chesapeake Bay (US),PANTHYR,1950,2023-07-11,2024-12-23,7,39.1235,-76.34893,reflectance,3,1,237,15.7,79.4,0.009871833818595799,0.5367854752917072,0.0129,0.0,400,100
GAIT_H,Lake Garda (IT),HYPSTAR,6373,2023-07-27,2026-07-31,9,45.577,10.57942,reflectance,2,2,1538,22.4,59.3,0.007145085869613129,0.7515584537398481,0.0254,56.2,400,100
LPAR_H,Rio de la Plata (AR),HYPSTAR,5987,2024-03-24,2026-07-31,12,-34.81797,-57.89595,reflectance_nosc,2,2,1539,17.6,87.5,0.03360864458833808,0.5982714693177146,0.0222,0.0,400,100
MAFR_H,Gironde/MAGEST (FR),HYPSTAR,5614,2024-06-21,2026-07-31,12,45.54765,-1.0405,reflectance_nosc,2,2,1538,22.2,87.7,0.03564059902122832,0.6243657203176676,0.0162,1.0,400,100
O1BE_P,Oostende RT1 (BE),PANTHYR,4607,2023-04-25,2026-09-09,12,51.2464,2.91932,reflectance_nosc,3,1,237,27.9,82.8,0.02797568594932401,0.6737277101590418,0.0236,0.0,400,100
TBBE_P,Thornton Bank (BE),PANTHYR,2021,2023-05-11,2026-09-06,12,51.53275,2.95505,reflectance,3,1,237,28.2,85.6,0.007005107799660522,0.744194547058701,0.0181,2.8,400,100
THFR_H,Thau lagoon (FR),HYPSTAR,6260,2025-05-28,2026-07-29,12,43.43486,3.66416,reflectance,1,1,1539,20.3,83.2,0.003379723559074708,0.7366024746915829,0.0258,30.2,400,100
VEIT_H,Acqua Alta AAOT (IT),HYPSTAR,17668,2023-04-24,2026-07-31,12,45.3142,12.5083,reflectance,2,2,1538,22.0,86.5,0.00710504196041911,1.0285477966744212,0.0196,57.0,400,100
VEIT_P,Acqua Alta AAOT (IT),PANTHYR,3502,2023-01-04,2026-05-31,12,45.31428,12.50838,reflectance,2,1,237,22.0,82.9,0.00819022038625982,0.9247695193619201,0.0088,2.2,400,100
WRUK_H,Wraysbury reservoir (UK),HYPSTAR,889,2024-03-05,2024-09-15,7,51.45758,-0.53219,reflectance,1,1,1538,28.0,79.1,0.002957491082119677,0.6226999774852482,0.0204,25.2,400,100
